Response ID,Which of the below factors influence the most about your career aspirations ?,Would you definitely pursue a Higher Education / Post Graduation outside of India ? If only you have to self sponsor it.,What is the most preferred working environment for you.,Your Current Zip Code / Pin Code,"Which of the below careers looks close to your Aspirational job ?
"
1,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,273005
2,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,851129
3,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,123106
4,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
5,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,301019
6,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,768028
7,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
8,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
9,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed
10,Social Media like LinkedIn,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,201310
11,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
12,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,639111
13,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,136119
14,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,678104
15,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office
16,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 10 days a month at office
17,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,561203
18,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,515201
19,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,211002
20,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,577002
21,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
22,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,301019
23,My Parents,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,680613
24,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Every Day Office Environment,852201
25,"""People from my circle"," but not family members""","""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office
26,Influencers who had successful careers,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,303007
27,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 3 days a month at office,852201,"""Design and Creative strategy in any company"
28,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,27287
29,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed,700063
30,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Every Day Office Environment,577528
31,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,122003
32,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,122003
33,Influencers who had successful careers,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,440002
34,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with No option to visit offices,852201
35,My Parents,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,465674,"""Design and Creative strategy in any company"
36,Influencers who had successful careers,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,561203
37,Influencers who had successful careers,"""Yes"," I will earn and do that""",Every Day Office Environment,577004
38,People who have changed the world for better,"""Yes"," I will earn and do that""",Every Day Office Environment,826004
39,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,826004
40,My Parents,No I would not be pursuing Higher Education outside of India,Every Day Office Environment,515003,"""Design and Creative strategy in any company"
41,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,496001
42,People who have changed the world for better,"""Yes"," I will earn and do that""",Fully Remote with No option to visit offices,713104
43,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,416001,"""Business Operations in any organization"
44,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,826004
45,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office
46,My Parents,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 15 days a month at office,110016
47,My Parents,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 15 days a month at office,131001
48,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,505001,"""Build and develop a Team"
49,"""People from my circle"," but not family members""",No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,600064
50,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 10 days a month at office,600129,"""Manage and drive End-to-End Projects or Products"
51,Social Media like LinkedIn,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,263126
52,"""People from my circle"," but not family members""","""Yes"," I will earn and do that""",Fully Remote with Options to travel as and when needed
53,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 10 days a month at office,785001
54,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,629004
55,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,600089
56,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,500005
57,My Parents,"""No"," But if someone could bare the cost I will""",Fully Remote with Options to travel as and when needed,452007
58,People who have changed the world for better,No I would not be pursuing Higher Education outside of India,Fully Remote with No option to visit offices,782001,"""Design and Creative strategy in any company"
59,People who have changed the world for better,"""No"," But if someone could bare the cost I will""",Hybrid Working Environment with less than 10 days a month at office,248001
60,My Parents,"""Yes"," I will earn and do that""",Every Day Office Environment,785001
61,My Parents,No I would not be pursuing Higher Education outside of India,Fully Remote with Options to travel as and when needed,852218,"""Build and develop a Team"
62,People who have changed the world for better,"""Yes"," I will earn and do that""",Hybrid Working Environment with less than 3 days a month at office,411038
63,Influencers who had successful careers,No I would not be pursuing Higher Education outside of India,Hybrid Working Environment with less than 15 days a month at office,282007,"""Design and Creative strategy in any company"
