Sheet1/Response ID,Sheet1/Would you work for a company whose mission is not clearly defined and publicly posted.,Sheet1/How likely would you work for a company whose mission is misaligned with their public actions or even their product ?,Sheet1/How likely would you work for a company whose mission is not bringing social impact ?,"Sheet1/For the First 3 years of your career, what is your minimum expected monthly salary in Hand?","Sheet1/After 5 years of your career from now, what is your minimum expected monthly salary in Hand?",Sheet1/Would you work for a company that has Laid-Off Employees recently ?
1,No,Will NOT work for them,4,31k to 40k,91k to 110k,
2,No,Will NOT work for them,1,21k to 25k,50k to 70k,
3,Yes,Will work for them,7,21k to 25k,91k to 110k,
4,No,Will NOT work for them,6,>50k,>151k,
5,No,Will NOT work for them,5,31k to 40k,71k to 90k,
6,No,Will NOT work for them,6,26k to 30k,71k to 90k,
7,Yes,Will work for them,7,>50k,>151k,
8,No,Will work for them,5,16k to 20k,50k to 70k,
9,Yes,Will NOT work for them,6,26k to 30k,>151k,
10,Yes,Will work for them,7,21k to 25k,71k to 90k,
11,Yes,Will work for them,8,21k to 25k,50k to 70k,
12,No,Will NOT work for them,1,16k to 20k,71k to 90k,
13,Yes,Will work for them,4,41k to 50k,91k to 110k,
14,No,Will NOT work for them,1,41k to 50k,91k to 110k,
15,Yes,Will NOT work for them,6,31k to 40k,71k to 90k,
16,No,Will NOT work for them,8,16k to 20k,71k to 90k,
17,No,Will NOT work for them,1,>50k,111k to 130k,
18,No,Will NOT work for them,2,31k to 40k,50k to 70k,
19,No,Will work for them,6,>50k,131k to 150k,
20,No,Will NOT work for them,7,26k to 30k,50k to 70k,
21,No,Will NOT work for them,1,>50k,>151k,
22,No,Will NOT work for them,1,>50k,111k to 130k,
23,Yes,Will NOT work for them,3,41k to 50k,131k to 150k,
24,No,Will work for them,8,16k to 20k,30k to 50k,
25,No,Will NOT work for them,5,>50k,>151k,
26,No,Will NOT work for them,1,31k to 40k,131k to 150k,
27,No,Will work for them,6,21k to 25k,111k to 130k,
28,No,Will NOT work for them,6,>50k,91k to 110k,
29,No,Will NOT work for them,5,>50k,91k to 110k,
30,Yes,Will work for them,1,>50k,111k to 130k,
31,No,Will NOT work for them,7,26k to 30k,71k to 90k,
32,No,Will NOT work for them,1,>50k,111k to 130k,
33,No,Will NOT work for them,7,>50k,>151k,
34,No,Will NOT work for them,5,>50k,91k to 110k,
35,No,Will NOT work for them,10,>50k,>151k,
36,No,Will NOT work for them,6,41k to 50k,91k to 110k,
37,No,Will NOT work for them,5,>50k,71k to 90k,
38,No,Will NOT work for them,4,31k to 40k,71k to 90k,
39,No,Will NOT work for them,7,>50k,91k to 110k,
40,No,Will NOT work for them,8,41k to 50k,131k to 150k,
41,No,Will NOT work for them,2,31k to 40k,50k to 70k,
42,No,Will NOT work for them,5,41k to 50k,91k to 110k,
43,Yes,Will NOT work for them,10,26k to 30k,71k to 90k,
44,No,Will NOT work for them,4,26k to 30k,50k to 70k,
45,Yes,Will work for them,8,>50k,131k to 150k,
46,No,Will NOT work for them,8,>50k,>151k,
47,Yes,Will work for them,8,21k to 25k,111k to 130k,
48,No,Will NOT work for them,8,31k to 40k,71k to 90k,
49,No,Will work for them,3,>50k,>151k,
50,Yes,Will work for them,5,>50k,>151k,
51,Yes,Will NOT work for them,6,31k to 40k,131k to 150k,
52,No,Will NOT work for them,5,11k to 15k,30k to 50k,
53,Yes,Will work for them,7,31k to 40k,91k to 110k,
54,Yes,Will NOT work for them,10,26k to 30k,91k to 110k,
55,No,Will NOT work for them,4,21k to 25k,50k to 70k,
56,Yes,Will NOT work for them,5,41k to 50k,>151k,
57,No,Will NOT work for them,4,>50k,>151k,
58,Yes,Will work for them,6,16k to 20k,50k to 70k,
59,No,Will NOT work for them,6,26k to 30k,50k to 70k,
60,No,Will NOT work for them,8,21k to 25k,50k to 70k,
61,No,Will NOT work for them,5,31k to 40k,91k to 110k,
62,No,Will NOT work for them,8,26k to 30k,131k to 150k,
63,No,Will NOT work for them,7,26k to 30k,50k to 70k,
64,No,Will NOT work for them,5,>50k,>151k,
65,No,Will NOT work for them,6,41k to 50k,131k to 150k,
66,No,Will work for them,8,31k to 40k,91k to 110k,
67,No,Will NOT work for them,5,26k to 30k,131k to 150k,
68,No,Will NOT work for them,7,41k to 50k,91k to 110k,
69,Yes,Will work for them,5,26k to 30k,71k to 90k,
70,No,Will NOT work for them,2,>50k,>151k,
71,No,Will NOT work for them,1,>50k,>151k,
72,No,Will NOT work for them,1,31k to 40k,71k to 90k,
73,No,Will work for them,1,21k to 25k,71k to 90k,
74,Yes,Will work for them,7,26k to 30k,71k to 90k,
75,Yes,Will work for them,1,16k to 20k,71k to 90k,
76,No,Will NOT work for them,3,21k to 25k,111k to 130k,
77,No,Will NOT work for them,6,>50k,>151k,
78,No,Will NOT work for them,7,5K to 10K,30k to 50k,
79,Yes,Will work for them,2,41k to 50k,111k to 130k,
80,No,Will work for them,8,>50k,>151k,
81,Yes,Will work for them,5,26k to 30k,30k to 50k,
82,No,Will NOT work for them,6,26k to 30k,50k to 70k,
83,No,Will NOT work for them,8,>50k,91k to 110k,
84,No,Will NOT work for them,9,>50k,>151k,
85,No,Will NOT work for them,4,>50k,91k to 110k,
86,No,Will NOT work for them,5,26k to 30k,91k to 110k,
87,Yes,Will NOT work for them,5,>50k,71k to 90k,
88,No,Will NOT work for them,1,31k to 40k,91k to 110k,
89,No,Will NOT work for them,5,41k to 50k,71k to 90k,
90,No,Will NOT work for them,5,16k to 20k,50k to 70k,
91,No,Will NOT work for them,1,41k to 50k,71k to 90k,
92,Yes,Will work for them,8,11k to 15k,30k to 50k,
93,No,Will work for them,6,>50k,91k to 110k,
94,Yes,Will work for them,9,31k to 40k,71k to 90k,
95,No,Will NOT work for them,5,>50k,71k to 90k,
96,No,Will work for them,8,41k to 50k,131k to 150k,
97,No,Will NOT work for them,1,26k to 30k,111k to 130k,
98,No,Will work for them,3,41k to 50k,131k to 150k,
99,No,Will work for them,2,26k to 30k,71k to 90k,
100,No,Will NOT work for them,2,41k to 50k,111k to 130k,
101,No,Will NOT work for them,7,31k to 40k,>151k,
102,No,Will NOT work for them,5,41k to 50k,131k to 150k,
103,No,Will NOT work for them,8,5K to 10K,71k to 90k,
104,Yes,Will NOT work for them,5,31k to 40k,131k to 150k,
105,Yes,Will work for them,5,31k to 40k,91k to 110k,
106,Yes,Will NOT work for them,4,>50k,91k to 110k,
107,No,Will work for them,8,41k to 50k,111k to 130k,
108,No,Will NOT work for them,3,>50k,111k to 130k,
109,No,Will NOT work for them,6,31k to 40k,71k to 90k,
110,No,Will NOT work for them,7,>50k,71k to 90k,
111,No,Will NOT work for them,5,>50k,91k to 110k,
112,No,Will NOT work for them,4,31k to 40k,71k to 90k,
113,Yes,Will work for them,6,>50k,>151k,
114,No,Will NOT work for them,5,41k to 50k,71k to 90k,
115,No,Will NOT work for them,8,5K to 10K,50k to 70k,
116,No,Will NOT work for them,5,41k to 50k,91k to 110k,
117,Yes,Will work for them,8,21k to 25k,71k to 90k,
118,No,Will NOT work for them,8,16k to 20k,50k to 70k,
119,No,Will NOT work for them,6,31k to 40k,50k to 70k,
120,Yes,Will work for them,8,21k to 25k,30k to 50k,
121,No,Will NOT work for them,8,11k to 15k,71k to 90k,
122,No,Will NOT work for them,6,31k to 40k,91k to 110k,
123,No,Will NOT work for them,2,11k to 15k,50k to 70k,
124,No,Will NOT work for them,10,31k to 40k,71k to 90k,
125,Yes,Will NOT work for them,5,21k to 25k,71k to 90k,
126,No,Will NOT work for them,2,31k to 40k,111k to 130k,
127,Yes,Will work for them,9,41k to 50k,131k to 150k,
128,No,Will work for them,3,21k to 25k,131k to 150k,
129,Yes,Will work for them,5,11k to 15k,50k to 70k,
130,No,Will NOT work for them,5,5K to 10K,30k to 50k,
131,No,Will NOT work for them,2,31k to 40k,30k to 50k,
132,Yes,Will NOT work for them,7,31k to 40k,71k to 90k,
133,Yes,Will work for them,7,26k to 30k,71k to 90k,
134,No,Will NOT work for them,7,>50k,>151k,
135,No,Will NOT work for them,6,41k to 50k,131k to 150k,
136,No,Will NOT work for them,4,41k to 50k,91k to 110k,
137,Yes,Will NOT work for them,5,26k to 30k,50k to 70k,
138,No,Will NOT work for them,2,31k to 40k,91k to 110k,
139,No,Will work for them,1,21k to 25k,50k to 70k,
140,Yes,Will NOT work for them,3,41k to 50k,>151k,
141,No,Will NOT work for them,4,16k to 20k,50k to 70k,
142,No,Will NOT work for them,2,21k to 25k,50k to 70k,
143,Yes,Will work for them,7,41k to 50k,>151k,
144,No,Will NOT work for them,7,>50k,91k to 110k,
145,No,Will NOT work for them,9,41k to 50k,71k to 90k,
146,Yes,Will work for them,3,11k to 15k,50k to 70k,
147,Yes,Will work for them,10,>50k,>151k,
148,No,Will NOT work for them,7,31k to 40k,>151k,
149,No,Will work for them,7,31k to 40k,91k to 110k,
150,No,Will NOT work for them,5,21k to 25k,50k to 70k,
151,No,Will NOT work for them,6,41k to 50k,91k to 110k,
152,Yes,Will work for them,2,21k to 25k,71k to 90k,
153,No,Will NOT work for them,5,26k to 30k,71k to 90k,
154,Yes,Will NOT work for them,3,16k to 20k,50k to 70k,
155,No,Will NOT work for them,1,21k to 25k,71k to 90k,
156,Yes,Will work for them,3,>50k,>151k,
157,No,Will NOT work for them,5,31k to 40k,71k to 90k,
158,No,Will NOT work for them,8,>50k,>151k,
159,No,Will NOT work for them,7,>50k,>151k,
160,No,Will NOT work for them,5,>50k,131k to 150k,
161,No,Will NOT work for them,9,31k to 40k,71k to 90k,
162,No,Will NOT work for them,8,26k to 30k,111k to 130k,
163,No,Will NOT work for them,6,>50k,>151k,
164,No,Will work for them,4,16k to 20k,111k to 130k,
165,No,Will NOT work for them,9,16k to 20k,50k to 70k,
166,No,Will NOT work for them,5,>50k,111k to 130k,
167,Yes,Will work for them,8,26k to 30k,111k to 130k,
168,No,Will NOT work for them,1,31k to 40k,111k to 130k,
169,No,Will NOT work for them,2,11k to 15k,50k to 70k,
170,No,Will NOT work for them,6,>50k,>151k,
171,Yes,Will work for them,7,>50k,>151k,
172,No,Will work for them,4,21k to 25k,71k to 90k,
173,No,Will NOT work for them,5,41k to 50k,131k to 150k,
174,Yes,Will work for them,6,41k to 50k,111k to 130k,
175,No,Will NOT work for them,4,31k to 40k,91k to 110k,
176,No,Will NOT work for them,7,26k to 30k,71k to 90k,
177,Yes,Will work for them,8,31k to 40k,91k to 110k,
178,No,Will NOT work for them,3,21k to 25k,50k to 70k,
179,No,Will NOT work for them,5,26k to 30k,111k to 130k,
180,No,Will NOT work for them,4,>50k,91k to 110k,
181,No,Will NOT work for them,3,21k to 25k,71k to 90k,
182,No,Will NOT work for them,7,41k to 50k,50k to 70k,
183,Yes,Will NOT work for them,3,16k to 20k,71k to 90k,
184,No,Will NOT work for them,5,16k to 20k,71k to 90k,
185,No,Will NOT work for them,1,41k to 50k,91k to 110k,
186,No,Will work for them,5,41k to 50k,30k to 50k,
187,No,Will NOT work for them,3,31k to 40k,71k to 90k,
188,No,Will NOT work for them,1,21k to 25k,50k to 70k,
189,Yes,Will NOT work for them,8,>50k,131k to 150k,
190,No,Will NOT work for them,1,31k to 40k,71k to 90k,
191,Yes,Will work for them,6,31k to 40k,71k to 90k,
192,Yes,Will work for them,5,31k to 40k,131k to 150k,
193,No,Will NOT work for them,5,16k to 20k,30k to 50k,
